Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona5;2020-03-12 00:00:00+01:00;165
uniqueUserZone;OWM Zona4;2020-03-12 00:00:00+01:00;257
uniqueUserZone;OWM Zona3;2020-03-12 00:00:00+01:00;331
uniqueUserZone;OWM Zona2;2020-03-12 00:00:00+01:00;221
uniqueUserZone;OWM Zona1;2020-03-12 00:00:00+01:00;317
uniqueUserZone;OWM Zona9;2020-03-11 00:00:00+01:00;299
uniqueUserZone;OWM Zona8;2020-03-11 00:00:00+01:00;327
uniqueUserZone;OWM Zona7;2020-03-11 00:00:00+01:00;388
uniqueUserZone;OWM Zona6;2020-03-11 00:00:00+01:00;497
uniqueUserZone;OWM Zona5;2020-03-11 00:00:00+01:00;221
uniqueUserZone;OWM Zona4;2020-03-11 00:00:00+01:00;311
uniqueUserZone;OWM Zona3;2020-03-11 00:00:00+01:00;403
uniqueUserZone;OWM Zona2;2020-03-11 00:00:00+01:00;264
uniqueUserZone;OWM Zona1;2020-03-11 00:00:00+01:00;467
uniqueUserZone;OWM Zona9;2020-03-10 00:00:00+01:00;295
uniqueUserZone;OWM Zona8;2020-03-10 00:00:00+01:00;298
uniqueUserZone;OWM Zona7;2020-03-10 00:00:00+01:00;372
uniqueUserZone;OWM Zona6;2020-03-10 00:00:00+01:00;518
uniqueUserZone;OWM Zona5;2020-03-10 00:00:00+01:00;260
uniqueUserZone;OWM Zona4;2020-03-10 00:00:00+01:00;314
uniqueUserZone;OWM Zona3;2020-03-10 00:00:00+01:00;471
uniqueUserZone;OWM Zona2;2020-03-10 00:00:00+01:00;271
uniqueUserZone;OWM Zona1;2020-03-10 00:00:00+01:00;518
uniqueUserZone;OWM Zona9;2020-03-09 00:00:00+01:00;311
uniqueUserZone;OWM Zona8;2020-03-09 00:00:00+01:00;328
uniqueUserZone;OWM Zona7;2020-03-09 00:00:00+01:00;408
uniqueUserZone;OWM Zona6;2020-03-09 00:00:00+01:00;587
uniqueUserZone;OWM Zona5;2020-03-09 00:00:00+01:00;270
uniqueUserZone;OWM Zona4;2020-03-09 00:00:00+01:00;334
uniqueUserZone;OWM Zona3;2020-03-09 00:00:00+01:00;514
uniqueUserZone;OWM Zona2;2020-03-09 00:00:00+01:00;325
uniqueUserZone;OWM Zona1;2020-03-09 00:00:00+01:00;585
uniqueUserZone;OWM Zona9;2020-03-08 00:00:00+01:00;325
uniqueUserZone;OWM Zona8;2020-03-08 00:00:00+01:00;354
uniqueUserZone;OWM Zona7;2020-03-08 00:00:00+01:00;397
uniqueUserZone;OWM Zona6;2020-03-08 00:00:00+01:00;573
uniqueUserZone;OWM Zona5;2020-03-08 00:00:00+01:00;254
uniqueUserZone;OWM Zona4;2020-03-08 00:00:00+01:00;344
uniqueUserZone;OWM Zona3;2020-03-08 00:00:00+01:00;485
uniqueUserZone;OWM Zona2;2020-03-08 00:00:00+01:00;331
uniqueUserZone;OWM Zona1;2020-03-08 00:00:00+01:00;651
uniqueUserZone;OWM Zona9;2020-03-07 00:00:00+01:00;395
uniqueUserZone;OWM Zona8;2020-03-07 00:00:00+01:00;388
uniqueUserZone;OWM Zona7;2020-03-07 00:00:00+01:00;516
uniqueUserZone;OWM Zona6;2020-03-07 00:00:00+01:00;732
uniqueUserZone;OWM Zona5;2020-03-07 00:00:00+01:00;307
uniqueUserZone;OWM Zona4;2020-03-07 00:00:00+01:00;407
uniqueUserZone;OWM Zona3;2020-03-07 00:00:00+01:00;596
uniqueUserZone;OWM Zona2;2020-03-07 00:00:00+01:00;341
uniqueUserZone;OWM Zona1;2020-03-07 00:00:00+01:00;873
uniqueUserZone;OWM Zona9;2020-03-06 00:00:00+01:00;376
uniqueUserZone;OWM Zona8;2020-03-06 00:00:00+01:00;451
uniqueUserZone;OWM Zona7;2020-03-06 00:00:00+01:00;550
uniqueUserZone;OWM Zona6;2020-03-06 00:00:00+01:00;723
uniqueUserZone;OWM Zona5;2020-03-06 00:00:00+01:00;326
uniqueUserZone;OWM Zona4;2020-03-06 00:00:00+01:00;436
uniqueUserZone;OWM Zona3;2020-03-06 00:00:00+01:00;628
uniqueUserZone;OWM Zona2;2020-03-06 00:00:00+01:00;407
uniqueUserZone;OWM Zona1;2020-03-06 00:00:00+01:00;923
uniqueUserZone;OWM Zona9;2020-03-05 00:00:00+01:00;343
uniqueUserZone;OWM Zona8;2020-03-05 00:00:00+01:00;375
uniqueUserZone;OWM Zona7;2020-03-05 00:00:00+01:00;464
uniqueUserZone;OWM Zona6;2020-03-05 00:00:00+01:00;656
